0.11,-0.19,0.21
-0.02,0.05,0.11
0.02,0.05,0.22
0.13,-0.18,0.18
0.11,-0.31,1.00
0.27,-0.28,1.61
0.26,-1.09,1.71
0.19,-0.17,1.24
0.10,-0.63,1.27
0.08,0.04,1.58
-0.03,0.73,1.77
-0.02,1.09,-1.12
-0.05,0.15,-1.90
0.05,0.21,-2.94
-0.09,0.31,-2.17
0.02,0.25,-0.47
-0.08,0.34,1.61
0.02,0.27,1.44
-0.06,-0.21,1.33
0.09,0.06,3.34
-0.02,0.13,3.85
-0.03,-0.36,5.54
0.04,-0.26,7.01
0.12,-0.05,8.98
-0.16,0.01,10.72
-0.14,-0.05,10.40
-0.14,0.11,9.03
-0.15,-0.07,7.44
-0.23,-0.17,8.20
-0.11,0.08,9.88
0.06,0.21,10.76
-0.03,0.87,11.06
-0.06,0.51,10.88
-0.16,-0.56,9.79
-0.10,-0.31,9.35
-0.04,0.10,11.94
-0.24,1.16,16.08
-0.49,0.47,21.92
-0.36,0.20,26.48
-0.50,0.32,26.26
-0.24,0.49,23.38
-0.34,0.63,22.71
-0.33,-0.02,25.71
-0.49,0.19,29.75
-0.70,0.52,32.46
-0.64,0.02,35.23
-0.63,-0.74,33.36
-0.47,0.22,30.24
-0.62,0.49,27.78
-0.45,-0.49,24.77
-0.32,-0.38,24.06
-0.35,-0.44,26.43
-0.40,-0.30,31.99
-0.84,0.34,44.23
-0.82,0.27,48.07
-0.76,0.46,46.00
-0.69,0.02,40.91
-0.81,0.47,39.69
-0.82,0.40,41.77
-0.81,0.46,45.58
-0.71,0.21,42.84
-0.79,0.11,40.52
-0.74,0.02,36.95
-0.50,0.17,30.98
-0.50,0.04,25.10
-0.30,-0.14,22.51
-0.25,0.17,26.17
-0.41,0.19,30.30
-0.62,0.05,33.10
-0.65,-0.03,30.33
-0.29,0.02,23.27
-0.18,-0.20,18.53
-0.30,-0.01,20.01
-0.19,-0.12,20.08
-0.18,-0.05,15.47
-0.11,-0.05,7.98
0.03,-0.10,3.35
-0.05,-0.10,1.31
0.08,0.09,-0.40
-0.02,-0.06,-0.68
-0.06,-0.25,-0.66
0.10,-0.02,-0.85
0.05,-0.21,-0.82
0.18,0.01,-0.90
0.02,-0.01,-0.66
-0.02,-0.31,-0.47
0.05,-0.31,-0.60
-0.02,-0.44,-0.64
0.02,-0.34,-0.56
0.09,-0.29,-0.65
0.11,-0.34,-0.79
0.13,-0.37,-0.88
0.08,0.05,-0.62
0.11,0.15,-0.74
0.04,-0.16,-0.75
0.05,-0.24,-1.04
0.06,-0.18,-2.21
0.08,0.00,-3.33
0.05,-0.05,-1.08
0.01,-0.23,-0.69
-0.02,-2.08,-0.66
0.22,-0.50,-0.73
0.06,-0.31,-0.74
0.05,-0.13,-0.61
0.12,-0.21,-0.84
0.16,0.14,-1.02
0.07,-0.20,-1.08
0.21,-0.56,-0.95
0.14,-0.56,-0.65
0.00,-0.41,-0.55
0.00,-0.39,-0.69
0.05,-0.12,-0.60
0.00,-0.31,0.43
-0.02,-0.27,5.79
-0.07,0.27,3.68
0.04,0.41,4.01
0.00,1.70,3.82
-0.06,0.74,2.01
-0.63,1.18,-0.27
-5.04,0.04,3.32
-6.17,0.23,4.34
-6.24,1.76,4.77
-5.23,7.21,3.68
-2.05,7.53,-4.18
1.34,8.27,-5.06
4.22,1.72,2.09
4.71,-5.88,10.06
4.85,-8.10,18.60
3.89,-9.80,21.59
0.69,-10.88,20.91
-7.74,-3.50,10.28
-13.33,3.02,2.53
-11.79,5.21,-2.71
-7.56,-1.79,1.37
-0.83,-12.75,8.97
3.95,-16.38,11.85
7.53,-12.11,14.99
7.84,-9.92,12.33
4.55,-12.18,8.47
1.06,-6.63,-2.16
4.65,22.92,-15.21
-3.43,37.49,4.02
-6.37,1.63,26.09
1.49,-27.59,35.43
3.14,-34.57,26.74
0.55,-30.28,13.23
0.08,-22.32,-10.29
5.29,-3.86,-22.04
7.51,12.85,-8.33
6.50,6.74,14.98
6.68,-1.11,24.00
10.61,-11.24,26.84
6.95,-17.04,12.82
-0.34,-13.60,-2.41
-4.53,-6.12,-22.48
-11.43,1.56,-25.56
-15.52,6.26,-8.92
-13.30,4.24,10.61
-4.63,-7.46,26.78
0.82,-6.64,27.65
1.57,1.54,16.37
1.85,10.92,-5.94
0.18,20.70,-20.35
-2.05,10.77,-15.89
1.32,1.81,-1.14
4.97,2.73,14.29
7.76,8.36,20.60
10.27,14.06,20.05
6.63,14.18,8.07
2.68,10.47,-7.21
0.08,4.72,-23.33
-0.41,0.37,-19.99
1.62,2.92,-2.94
-0.85,0.95,5.66
0.76,2.31,10.72
3.77,8.46,11.02
6.85,9.79,5.27
3.90,6.08,-3.63
-1.22,6.47,-12.37
-1.31,-2.33,-10.81
-0.73,-10.11,2.48
0.59,-10.11,12.05
-2.87,7.68,19.65
-8.08,20.58,21.68
-4.56,14.68,10.66
2.12,-6.43,-7.21
1.64,-5.21,-22.04
4.07,1.81,-28.40
5.34,0.72,-33.00
3.20,-2.43,-26.90
7.59,-16.09,-35.65
13.07,-17.73,-46.00
14.35,-7.15,-61.42
11.30,0.96,-63.09
11.28,2.93,-54.98
8.63,-9.87,-44.68
4.79,-19.52,-36.88
3.12,-7.57,-32.51
-1.27,13.97,-19.33
-7.30,30.07,3.96
-12.99,33.23,22.91
-18.41,25.60,42.05
-15.22,2.56,54.56
-13.46,-10.40,60.49
-10.15,-11.14,69.38
-5.14,-16.41,74.89
-3.40,-23.78,80.64
2.58,-21.15,72.02
8.29,-7.88,61.83
10.34,12.01,55.84
7.07,17.72,46.40
7.06,7.13,35.06
8.27,-2.43,22.21
9.44,-8.98,4.96
9.25,-8.24,-13.27
4.12,-0.41,-28.55
-1.93,3.08,-38.36
-9.96,1.47,-46.39
-17.19,-9.70,-48.47
-14.04,-2.61,-50.74
-14.21,1.75,-60.37
-14.15,-1.12,-65.30
-7.55,-17.46,-70.72
-2.28,-19.46,-65.61
-5.19,-11.57,-56.09
-7.97,-1.31,-50.77
-7.95,1.43,-43.82
-5.40,-8.88,-37.94
-3.12,-13.26,-28.76
-6.73,-5.53,-5.12
-12.83,3.99,19.52
-15.72,-7.87,37.13
-13.01,-23.04,52.50
-6.00,-24.55,57.50
-2.02,-14.44,60.71
1.57,2.72,64.47
4.79,10.02,65.27
8.91,8.30,62.67
14.41,3.56,59.14
20.57,2.58,51.77
20.77,9.59,44.75
16.62,15.72,45.16
10.60,10.15,41.04
9.39,-6.32,27.86
10.59,-14.07,12.11
8.30,-10.49,-8.02
5.23,-2.58,-20.83
3.72,0.53,-27.45
1.95,1.21,-33.04
4.22,2.88,-45.35
7.69,4.55,-59.73
9.56,11.67,-69.15
8.48,15.87,-74.08
7.28,12.14,-71.51
9.34,2.43,-68.35
9.38,-1.45,-64.89
8.09,-10.86,-63.17
4.19,-5.18,-56.73
1.02,-5.18,-41.91
-1.28,-4.77,-26.94
-4.60,-4.46,-3.27
-10.15,-5.27,13.04
-14.34,-8.84,25.45
-15.64,-16.46,42.32
-15.70,-16.55,51.00
-12.91,-10.39,58.41
-8.75,-6.27,65.79
-4.49,-3.79,68.57
-1.79,-4.24,67.67
0.59,-2.46,60.94
4.05,3.71,55.80
5.97,4.63,50.07
7.19,-1.35,44.52
9.37,-1.40,41.49
10.36,-8.24,34.04
11.67,-5.24,26.98
13.59,-4.42,14.79
10.63,1.34,0.70
10.24,4.80,-11.99
9.90,4.57,-24.72
8.86,1.32,-35.99
8.18,1.39,-43.40
7.03,11.62,-49.29
3.21,18.36,-53.18
-1.68,18.70,-55.47
-3.95,7.42,-62.24
-7.63,3.91,-56.22
-8.80,-4.40,-49.35
-9.17,5.37,-37.52
-9.66,18.67,-18.27
-11.45,23.07,4.09
-16.10,9.76,25.25
-15.01,-0.74,36.85
-12.00,-8.66,45.10
-11.56,-3.70,47.32
-12.55,0.31,53.29
-11.80,-6.12,56.68
-6.86,-17.27,49.14
-2.90,-24.91,40.97
-2.72,-12.88,29.13
-5.08,0.80,26.94
-4.02,-0.24,24.13
-0.11,-6.32,13.64
4.53,-4.88,-3.05
7.27,1.05,-19.69
5.59,13.11,-31.17
1.94,20.01,-41.49
0.56,17.25,-47.19
3.08,6.76,-52.70
6.33,1.60,-56.87
7.16,6.27,-56.07
5.40,13.33,-51.65
1.20,14.79,-40.44
-1.36,5.98,-31.64
-2.62,-3.71,-25.01
-3.09,-7.77,-16.01
2.01,4.89,3.39
4.58,12.30,20.95
2.47,14.85,44.22
-2.32,-0.85,56.06
2.72,-14.82,61.31
9.04,-15.44,52.71
10.43,-15.88,45.54
9.52,-12.96,45.55
10.02,-12.92,47.36
9.85,-17.42,44.39
7.98,-20.53,33.91
3.70,-10.92,19.06
-1.28,-2.65,0.72
-7.29,-0.65,-11.27
-10.27,-2.48,-16.69
-10.01,-2.06,-28.85
-10.57,7.59,-35.57
-14.01,17.30,-45.19
-18.07,15.34,-51.52
-20.07,1.53,-54.23
-15.90,-2.86,-57.26
-11.47,2.14,-52.00
-6.15,26.59,-38.84
1.35,29.01,-19.20
5.44,26.33,-5.31
9.62,22.99,7.72
11.35,21.53,22.71
8.07,22.27,39.69
2.08,19.58,49.70
-3.76,5.31,53.97
-5.14,-12.62,49.49
-4.22,-26.53,47.54
-7.38,-33.77,48.19
-11.90,-47.77,43.14
-11.08,-42.83,27.30
-7.50,-43.16,1.37
-8.90,-21.06,-13.83
-7.01,-1.79,-27.04
-5.21,3.50,-42.05
-4.76,13.31,-51.93
-6.30,17.49,-53.77
-2.83,14.85,-52.26
0.15,2.13,-55.59
1.08,-2.03,-54.57
-0.85,-1.47,-45.56
-3.85,8.55,-34.36
-2.24,13.39,-22.95
0.16,14.70,-8.88
-1.49,6.06,4.08
-3.55,-0.24,15.25
-3.54,2.43,30.43
-2.13,8.11,42.87
-2.60,7.14,54.45
-2.64,4.18,61.64
-1.50,-7.63,57.04
1.18,-16.37,52.00
2.97,-16.51,41.81
3.74,-8.26,32.69
4.95,-0.88,26.68
4.65,1.21,16.68
4.41,2.66,8.80
4.22,4.69,3.16
3.90,12.01,-3.20
0.12,14.75,-12.91
-3.98,9.89,-25.46
-8.93,12.78,-26.62
-11.85,14.72,-25.27
-11.37,14.83,-27.60
-10.60,14.62,-25.43
-9.32,18.04,-20.69
-9.44,13.53,-20.03
-12.79,10.23,-16.91
-15.24,10.56,-18.09
-16.02,14.15,-16.59
-16.82,14.14,-13.88
-16.72,9.85,-9.88
-13.97,4.53,-6.94
-10.01,1.76,-4.66
-5.86,3.72,0.14
-2.24,8.98,3.83
-0.95,9.67,4.55
-2.24,6.78,6.95
-2.18,3.07,9.57
-1.89,-3.59,8.21
-2.27,-3.50,7.04
-3.50,0.63,4.10
-3.05,2.12,2.50
-2.76,1.43,0.95
-2.29,-1.07,0.65
-1.91,-2.77,-0.89
-1.96,-1.59,-0.95
-1.50,1.36,0.41
-2.20,0.92,1.20
-3.97,-0.23,2.21
-5.21,-1.65,3.14
-6.35,-4.12,5.27
-6.66,-3.13,4.12
-5.33,1.45,3.04
-3.76,3.69,1.38
-2.47,3.08,1.71
-0.39,1.24,-0.26
0.28,3.21,-1.21
-1.14,4.16,-0.53
-2.21,4.02,-0.76
-2.34,3.66,-0.69
-2.96,2.43,-2.17
-2.47,1.73,-0.82
-2.95,0.50,-1.11
-3.08,1.60,-0.64
-2.50,3.23,0.36
-2.27,3.11,0.94
-1.94,3.66,1.44
-3.69,4.12,0.89
-4.81,4.24,0.36
-6.09,3.76,-0.24
-6.47,2.47,-0.04
-6.58,1.92,-0.66
-5.36,1.50,-1.64
-4.15,2.39,-0.79
-3.99,3.56,0.31
-4.09,2.42,1.28
-4.31,1.15,0.40
-4.00,1.95,0.17
-2.95,2.24,0.04
-2.14,3.74,-0.08
-2.65,5.23,-1.08
-3.26,4.24,-0.59
-3.98,3.88,-0.59
-4.24,4.36,-0.68
-4.37,4.86,-0.31
-4.07,5.37,0.05
-4.13,6.07,-1.15
-4.28,6.87,-2.17
-4.68,7.47,-2.79
-4.01,7.04,-2.88
-3.44,6.49,-2.94
-3.82,5.72,-2.65
-3.67,3.73,-1.62
-3.60,3.83,-1.41
-3.69,6.09,-1.20
-4.80,6.66,-0.45
-4.69,5.08,-0.10
-4.06,1.91,-0.09
-3.02,1.64,-1.02
-2.40,2.18,-1.16
-3.30,2.53,-0.89
-3.69,3.43,0.25
-4.42,3.63,-0.15
-4.31,4.20,-1.80
-3.75,5.63,-2.66
-2.66,6.32,-1.62
-2.48,6.66,-1.52
-3.51,6.27,-2.12
-5.04,4.14,-1.17
-6.09,2.88,-0.51
-6.60,3.82,-0.70
-6.65,3.84,-0.41
-5.50,2.89,0.20
-4.37,1.09,0.37
-3.89,1.69,0.25
-3.75,2.99,-0.27
-3.23,4.43,-0.43
-3.10,5.39,-1.02
-3.80,5.18,-1.22
-4.53,3.98,-0.88
-4.08,4.57,-1.51
-4.88,5.85,-2.05
-5.43,5.43,-0.80
-5.22,4.47,-1.03
-4.59,5.17,-1.62
-4.00,6.69,-1.31
-3.63,7.30,-1.30
-3.97,5.76,-1.43
-4.57,4.00,-1.66
-5.16,3.95,-0.67
-4.47,5.18,-0.53
-4.25,6.38,-0.67
-4.92,6.43,-1.37
-4.75,4.76,-1.54
-4.69,3.53,-1.05
-5.34,5.63,-1.01
-5.53,8.26,-1.60
-4.26,8.37,-1.08
-3.48,6.24,-0.31
-2.74,3.85,-1.35
-0.63,3.99,-1.85
-0.21,7.78,-1.93
-0.90,11.50,-2.56
-2.31,12.25,-2.79
-3.68,7.92,-2.14
-3.57,6.31,-1.39
-3.98,7.24,-0.63
-4.68,10.99,-0.79
-4.14,12.02,-0.27
-4.66,10.16,-0.64
-5.50,8.64,0.06
-6.08,10.15,0.42
-7.01,12.76,0.89
-7.98,18.21,0.17
-7.27,22.22,1.32
-6.35,21.14,0.70
-7.06,22.67,-1.75
-8.14,19.30,-2.72
-9.22,14.51,-0.60
-7.92,13.70,0.20
-6.36,13.12,0.86
-5.30,12.73,0.83
-4.73,12.95,0.92
-4.05,12.75,1.10
-3.12,13.27,0.50
-2.54,12.55,-0.55
-3.00,13.16,0.34
-4.16,15.19,-0.46
-5.79,17.89,-1.23
-6.69,19.37,-1.31
-6.39,15.73,-3.95
-7.03,10.84,-5.67
-8.43,17.88,-0.88
-6.59,21.64,2.47
-4.62,25.09,4.74
-2.67,24.72,3.11
-2.44,24.13,0.73
